Sample	Query	Marker	Start_pos	End_pos	Taxonomy	Abundance	iNode	E-value	LWR	EvoDist	Distances
gold_standard_high_single	RH|P|C30757_21	NapA	192	770	r__Root	1.0	1	3.4e-42	0.9763877701	2.7695	1.789,0.9806,0.0
gold_standard_high_single	RH|P|C26720_143	NapA	106	714	r__Root	1.0	1525	1.4e-09	0.9664863299	6.3358	0.0001,3.0586,3.2772
gold_standard_high_single	RH|P|C11779_55	NapA	248	789	r__Root	1.0	1	8.4e-42	1.0	3.0018	1.5527,1.449,0.0
gold_standard_high_single	RH|P|C5030_48	NapA	194	751	r__Root	1.0	1524	1.4e-29	0.7052016132	3.3221	0.0001,1.3371,1.985
gold_standard_high_single	RH|P|C5118_124	NapA	46	681	r__Root	1.0	42	9.2e-10	0.9999930168	1.6908	0.4121,1.2786,0.0
gold_standard_high_single	RH|P|C35689_35	NapA	217	811	r__Root	1.0	2	1.7e-53	1.0	2.3191	1.3294,0.9897,0.0
gold_standard_high_single	RH|P|C2930_90	NapA	216	803	r__Root	1.0	2	1.4e-54	1.0	2.4746	1.5094,0.9652,0.0
gold_standard_high_single	RH|P|C37285_81	NapA	230	831	r__Root	1.0	2	5.4e-46	1.0	2.6934	1.272,1.4214,0.0
gold_standard_high_single	RH|P|C13678_18	NapA	170	755	r__Root	1.0	1	3.4e-42	0.8498232959	2.9999	2.1554,0.8445,0.0
gold_standard_high_single	RH|P|C33604_20	NapA	192	766	r__Root	1.0	1	3.4e-40	0.7314405829	3.3865	2.0125,1.374,0.0
gold_standard_high_single	RH|P|C38017_181	NapA	235	825	r__Root	1.0	2	8.1e-50	1.0	2.6215	1.2334,1.3881,0.0
gold_standard_high_single	RH|P|C41394_535	NapA	2	600	r__Root	1.0	2	2e-61	1.0	2.9067	1.2584,1.6483,0.0
gold_standard_high_single	RH|P|C13473_517	NapA	1	674	r__Root	1.0	2	1.9e-44	1.0	2.7122	0.2397,2.4725,0.0
gold_standard_high_single	RH|P|C33736_611	NapA	217	807	r__Root	1.0	2	5.5e-50	1.0	2.6215	1.2334,1.3881,0.0
gold_standard_high_single	RH|P|C14294_300	NapA	1	656	r__Root	1.0	2	3.7e-79	1.0	2.1585	1.5757,0.5828,0.0
gold_standard_high_single	RH|P|C15970_82	NapA	222	800	r__Root	1.0	1	6.8e-56	0.6571381208	2.9227	1.9671,0.9557,0.0
gold_standard_high_single	RH|P|C18175_7	NapA	7	311	r__Root; d__Bacteria; p__Proteobacteria	1.0	4	2.7e-81	1.0	0.9476	0.46,0.4875,0.0
gold_standard_high_single	RH|P|C42019_133	NapA	1	673	r__Root; d__Bacteria	1.0	7	3.6e-190	1.0	1.0269	0.1095,0.4454,0.4721
gold_standard_high_single	RH|P|C33235_110	NapA	1	676	r__Root	1.0	10	2.6e-86	1.0	1.4701	0.6778,0.7923,0.0
gold_standard_high_single	RH|P|C37662_44	NapA	1	652	r__Root	1.0	12	5.8e-104	0.9592595545	2.6202	1.7148,0.9054,0.0
gold_standard_high_single	RH|P|C31934_61	NapA	1	667	r__Root	1.0	10	9.2e-82	0.9435983602	1.6857	0.5336,1.1522,0.0
gold_standard_high_single	RH|P|C2973_200	NapA	1	665	r__Root	1.0	12	3.7e-106	1.0	2.2255	1.559,0.6665,0.0
gold_standard_high_single	RH|P|C34918_88	NapA	38	659	r__Root	1.0	12	2.4e-40	1.0	2.9066	1.0481,1.8585,0.0
gold_standard_high_single	RH|P|C10069_54	NapA	3	663	r__Root	1.0	14	4.6e-107	1.0	1.3401	0.6381,0.702,0.0
gold_standard_high_single	RH|P|C22243_214	NapA	35	707	r__Root	1.0	15	1.3e-65	0.9994031857	2.7006	0.0319,1.3995,1.2692
gold_standard_high_single	RH|P|C1266_538	NapA	51	722	r__Root	1.0	15	3.3e-60	1.0	2.522	0.0073,1.2455,1.2692
