RefPkg,Percentile,Placements,LWR
PF00380a,0.25,1.0,0.5699416204
PF00380a,0.5,1.0,1.0
PF00380a,0.75,2.0,1.0
PF00380b,0.25,1.0,0.1276566187
PF00380b,0.5,3.0,0.3530702372
PF00380b,0.75,5.0,1.0
PF00410a,0.25,1.0,0.67982674435
PF00410a,0.5,1.0,1.0
PF00410a,0.75,2.0,1.0
PF00410b,0.25,1.0,0.32747392514999996
PF00410b,0.5,2.0,0.9093795747
PF00410b,0.75,3.0,1.0
PF00687a,0.25,1.0,1.0
PF00687a,0.5,1.0,1.0
PF00687a,0.75,1.0,1.0
PF00687b,0.25,1.0,0.600078576175
PF00687b,0.5,1.0,1.0
PF00687b,0.75,2.0,1.0
PF00750a,0.25,1.0,1.0
PF00750a,0.5,1.0,1.0
PF00750a,0.75,1.0,1.0
PF00750b,0.25,1.0,0.3581467587
PF00750b,0.5,1.0,1.0
PF00750b,0.75,2.0,1.0
PF00900,0.25,1.0,1.0
PF00900,0.5,1.0,1.0
PF00900,0.75,1.0,1.0
PF01015,0.25,1.0,1.0
PF01015,0.5,1.0,1.0
PF01015,0.75,1.0,1.0
PF01092,0.25,1.0,1.0
PF01092,0.5,1.0,1.0
PF01092,0.75,1.0,1.0
PF01157,0.25,1.0,0.5000973775
PF01157,0.5,1.0,1.0
PF01157,0.75,2.0,1.0
PF01200,0.25,1.0,0.19838874174999999
PF01200,0.5,2.0,0.4995213538
PF01200,0.75,3.0,1.0
PF01280,0.25,1.0,1.0
PF01280,0.5,1.0,1.0
PF01280,0.75,1.0,1.0
PF01409a,0.25,1.0,0.9996785855
PF01409a,0.5,1.0,1.0
PF01409a,0.75,1.0,1.0
PF01409b,0.25,1.0,0.094429070075
PF01409b,0.5,5.0,0.18750241135
PF01409b,0.75,7.0,0.9999636771
PF01655,0.25,1.0,0.80462961955
PF01655,0.5,1.0,1.0
PF01655,0.75,2.0,1.0
PF01866,0.25,1.0,1.0
PF01866,0.5,1.0,1.0
PF01866,0.75,1.0,1.0
RadA,0.25,1.0,1.0
RadA,0.5,1.0,1.0
RadA,0.75,1.0,1.0
RecA,0.25,1.0,0.85377486175
RecA,0.5,1.0,1.0
RecA,0.75,2.0,1.0
RpoB,0.25,1.0,1.0
RpoB,0.5,1.0,1.0
RpoB,0.75,1.0,1.0
