Sample.Name,Fasta.Length,Software,Molecule,Threads,Time (mm:ss),Memory.Max (kbytes)
sim_1000.1,8024000,DIAMOND,nuc,16,22:07.32,17687476
sim_1000.1,2081736,DIAMOND,aa,16,17:06.07,10319424
sim_1000.1,8024000,DIAMOND,nuc,8,27:59.24,17154872
sim_1000.1,2081736,DIAMOND,aa,8,20:19.65,9824816
sim_1000.1,8024000,DIAMOND,nuc,4,44:37.06,16827212
sim_1000.1,2081736,DIAMOND,aa,4,30:08.35,9390196
sim_1000.2,8024000,DIAMOND,nuc,16,21:52.69,17704260
sim_1000.2,2074900,DIAMOND,aa,16,17:00.51,10482100
sim_1000.2,8024000,DIAMOND,nuc,8,27:58.70,17142596
sim_1000.2,2074900,DIAMOND,aa,8,20:17.08,9791928
sim_1000.2,8024000,DIAMOND,nuc,4,44:34.99,16892660
sim_1000.2,2074900,DIAMOND,aa,4,30:04.24,9473376
sim_100.1,800000,DIAMOND,nuc,16,16:38.27,10584908
sim_100.1,204898,DIAMOND,aa,16,15:26.74,10588848
sim_100.1,800000,DIAMOND,nuc,8,20:29.25,10238632
sim_100.1,204898,DIAMOND,aa,8,18:30.46,10162196
sim_100.1,800000,DIAMOND,nuc,4,30:47.68,9949708
sim_100.1,204898,DIAMOND,aa,4,27:02.40,10071752
sim_100.2,800000,DIAMOND,nuc,16,16:37.48,10586060
sim_100.2,209090,DIAMOND,aa,16,15:34.81,10612984
sim_100.2,800000,DIAMOND,nuc,8,20:29.44,10231080
sim_100.2,209090,DIAMOND,aa,8,18:46.05,10240456
sim_100.2,800000,DIAMOND,nuc,4,30:45.81,9962572
sim_100.2,209090,DIAMOND,aa,4,27:32.68,10088492
sim_128000.1,1023976000,DIAMOND,nuc,16,2:11:38,29696344
sim_1000.1,8024000,TreeSAPP,nuc,16,0:54.90,1421768
sim_1000.1,2081736,TreeSAPP,aa,16,0:49.78,1422508
sim_1000.1,8024000,GraftM,nuc,16,0:01.51,111096
sim_1000.1,2081736,GraftM,aa,16,0:00.68,111384
sim_1000.1,8024000,GraftM,nuc,16,0:00.82,111580
sim_1000.1,2081736,GraftM,aa,16,0:00.67,111496
sim_1000.1,8024000,GraftM,nuc,16,0:01.29,115636
sim_1000.1,2081736,GraftM,aa,16,0:01.13,115464
sim_1000.1,8024000,GraftM,nuc,16,0:02.48,169148
sim_1000.1,2081736,GraftM,aa,16,0:02.37,169196
sim_1000.1,8024000,GraftM,nuc,16,0:01.26,115656
sim_1000.1,2081736,GraftM,aa,16,0:01.08,115740
sim_1000.1,8024000,GraftM,nuc,16,0:02.34,176708
sim_1000.1,2081736,GraftM,aa,16,0:02.19,176708
sim_1000.1,8024000,GraftM,nuc,16,0:01.40,115704
sim_1000.1,2081736,GraftM,aa,16,0:01.24,115920
sim_1000.1,8024000,GraftM,nuc,16,0:01.63,115960
sim_1000.1,2081736,GraftM,aa,16,0:01.41,115776
sim_1000.1,8024000,GraftM,nuc,16,0:01.03,115532
sim_1000.1,2081736,GraftM,aa,16,0:00.67,111592
sim_1000.1,8024000,GraftM,nuc,16,0:01.12,115260
sim_1000.1,2081736,GraftM,aa,16,0:01.01,115548
sim_1000.1,8024000,GraftM,nuc,16,0:01.00,115380
sim_1000.1,2081736,GraftM,aa,16,0:00.84,115644
sim_1000.1,8024000,GraftM,nuc,16,0:00.99,115644
sim_1000.1,2081736,GraftM,aa,16,0:00.83,115160
sim_1000.1,8024000,GraftM,nuc,16,0:00.80,111656
sim_1000.1,2081736,GraftM,aa,16,0:00.67,111700
sim_1000.1,8024000,GraftM,nuc,16,0:01.45,115804
sim_1000.1,2081736,GraftM,aa,16,0:01.35,115648
sim_1000.1,8024000,GraftM,nuc,16,0:01.13,115596
sim_1000.1,2081736,GraftM,aa,16,0:00.67,111672
sim_1000.1,8024000,GraftM,nuc,16,0:01.40,115664
sim_1000.1,2081736,GraftM,aa,16,0:01.15,115732
sim_1000.1,8024000,GraftM,nuc,16,0:01.21,115384
sim_1000.1,2081736,GraftM,aa,16,0:01.07,114888
sim_1000.1,8024000,GraftM,nuc,16,0:03.77,375136
sim_1000.1,2081736,GraftM,aa,16,0:03.58,375136
sim_1000.1,8024000,GraftM,nuc,16,0:04.11,508152
sim_1000.1,2081736,GraftM,aa,16,0:04.15,512268
sim_1000.1,8024000,TreeSAPP,nuc,8,0:55.71,1231776
sim_1000.1,2081736,TreeSAPP,aa,8,0:50.78,1422828
sim_1000.1,8024000,GraftM,nuc,8,0:00.78,111892
sim_1000.1,2081736,GraftM,aa,8,0:00.66,111448
