Software	Threads	Molecule	Fasta.Length	Time (s)	chars/s
DIAMOND	4	aa	4570624	6.89e+03	6.64e+02
DIAMOND	4	nuc	17648000	9.05e+03	1.95e+03
DIAMOND	8	aa	4570624	4.67e+03	9.78e+02
DIAMOND	8	nuc	17648000	5.82e+03	3.03e+03
DIAMOND	16	aa	4570624	3.91e+03	1.17e+03
DIAMOND	16	nuc	1041624000	1.25e+04	8.31e+04
GraftM	4	aa	48169573281	3.44e+03	1.40e+07
GraftM	4	nuc	186442288000	6.09e+03	3.06e+07
GraftM	8	aa	48169573281	2.47e+03	1.95e+07
GraftM	8	nuc	186442288000	5.03e+03	3.71e+07
GraftM	16	aa	48169573281	2.34e+03	2.06e+07
GraftM	16	nuc	186442288000	4.94e+03	3.77e+07
TreeSAPP	4	aa	2535240699	5.15e+03	4.93e+05
TreeSAPP	4	nuc	9812752000	1.77e+04	5.56e+05
TreeSAPP	8	aa	2535240699	4.92e+03	5.15e+05
TreeSAPP	8	nuc	9812752000	1.15e+04	8.50e+05
TreeSAPP	16	aa	2535240699	4.92e+03	5.15e+05
TreeSAPP	16	nuc	9812752000	9.26e+03	1.06e+06
