seqname,tax_id
1_PF00410a,s__Acidilobus_saccharovorans
2_PF00410a,s__Acidilobus_sp._7A
3_PF00410a,s__Caldisphaera_lagunensis
4_PF00410a,s__Caldisphaera_sp.
5_PF00410a,s__Aeropyrum_pernix
6_PF00410a,s__Desulfurococcus_mucosus
7_PF00410a,s__Ignicoccus_hospitalis
8_PF00410a,s__Ignicoccus_islandicus
9_PF00410a,s__Ignisphaera_aggregans
10_PF00410a,s__Staphylothermus_hellenicus
11_PF00410a,s__Thermogladius_calderae
12_PF00410a,s__Thermosphaera_aggregans
13_PF00410a,s__Zestosphaera_tikiterensis
14_PF00410a,s__Hyperthermus_butylicus
15_PF00410a,s__Pyrolobus_fumarii
16_PF00410a,s__Fervidicoccus_fontis
17_PF00410a,s__Fervidicoccus_sp.
18_PF00410a,g__Acidianus
19_PF00410a,s__Acidianus_hospitalis
20_PF00410a,s__Acidianus_manzaensis
21_PF00410a,s__Candidatus_Aramenus_sulfurataquae
22_PF00410a,s__Metallosphaera_cuprina
23_PF00410a,s__Metallosphaera_sedula
24_PF00410a,s__Metallosphaera_yellowstonensis
25_PF00410a,s__Saccharolobus_solfataricus
26_PF00410a,g__Sulfolobus
27_PF00410a,s__Sulfolobus_acidocaldarius
28_PF00410a,s__Sulfuracidifex_tepidarius
29_PF00410a,g__Sulfurisphaera
30_PF00410a,s__Thermofilum_adornatum
31_PF00410a,s__Thermofilum_pendens
32_PF00410a,s__Thermofilum_sp._NZ13
33_PF00410a,s__Thermofilum_sp._ex4484_15
34_PF00410a,s__Thermofilum_sp._ex4484_79
35_PF00410a,s__Thermofilum_uzonense
36_PF00410a,s__Caldivirga_maquilingensis
37_PF00410a,s__Caldivirga_sp._MU80
38_PF00410a,s__Pyrobaculum_ferrireducens
39_PF00410a,s__Pyrobaculum_islandicum
40_PF00410a,s__Thermocladium_sp._ECH_B
41_PF00410a,s__Thermoproteus_sp._AZ2
42_PF00410a,s__Thermoproteus_sp._CP80
43_PF00410a,s__Thermoproteus_tenax
44_PF00410a,s__Vulcanisaeta_moutnovskia
45_PF00410a,s__Vulcanisaeta_thermophila
46_PF00410a,s__Archaeoglobus_fulgidus
47_PF00410a,s__Archaeoglobus_profundus
48_PF00410a,s__Archaeoglobus_sulfaticallidus
49_PF00410a,s__Archaeoglobus_veneficus
50_PF00410a,s__Ferroglobus_placidus
51_PF00410a,s__Geoglobus_acetivorans
52_PF00410a,s__Geoglobus_ahangari
