seqname,tax_id
1_PF01280,s__Acidilobus_saccharovorans
2_PF01280,s__Acidilobus_sp._7A
3_PF01280,s__Caldisphaera_lagunensis
4_PF01280,s__Caldisphaera_sp.
5_PF01280,s__Caldisphaera_sp.
6_PF01280,s__Aeropyrum_pernix
7_PF01280,s__Desulfurococcus_amylolyticus
8_PF01280,s__Desulfurococcus_mucosus
9_PF01280,s__Ignicoccus_hospitalis
10_PF01280,s__Ignicoccus_islandicus
11_PF01280,s__Ignisphaera_aggregans
12_PF01280,s__Staphylothermus_marinus
13_PF01280,s__Thermogladius_calderae
14_PF01280,s__Thermosphaera_aggregans
15_PF01280,s__Zestosphaera_tikiterensis
16_PF01280,s__Hyperthermus_butylicus
17_PF01280,s__Pyrodictium_delaneyi
18_PF01280,s__Pyrodictium_occultum
19_PF01280,s__Pyrolobus_fumarii
20_PF01280,s__Fervidicoccus_fontis
21_PF01280,s__Fervidicoccus_sp.
22_PF01280,g__Acidianus
23_PF01280,s__Acidianus_hospitalis
24_PF01280,s__Acidianus_manzaensis
25_PF01280,s__Candidatus_Aramenus_sulfurataquae
26_PF01280,s__Metallosphaera_cuprina
27_PF01280,s__Metallosphaera_sedula
28_PF01280,s__Metallosphaera_yellowstonensis
29_PF01280,s__Saccharolobus_solfataricus
30_PF01280,s__Sulfolobus_acidocaldarius
31_PF01280,s__Sulfolobus_islandicus
32_PF01280,s__Sulfolobus_sp._A20
33_PF01280,s__Sulfuracidifex_tepidarius
34_PF01280,g__Sulfurisphaera
35_PF01280,s__Thermofilum_adornatum
36_PF01280,s__Thermofilum_pendens
37_PF01280,s__Thermofilum_sp._NZ13
38_PF01280,s__Thermofilum_sp._ex4484_15
39_PF01280,s__Thermofilum_uzonense
40_PF01280,s__Caldivirga_maquilingensis
41_PF01280,s__Caldivirga_sp._JCHS_4
42_PF01280,s__Pyrobaculum_aerophilum
43_PF01280,s__Pyrobaculum_arsenaticum
44_PF01280,s__Pyrobaculum_calidifontis
45_PF01280,s__Pyrobaculum_ferrireducens
46_PF01280,s__Pyrobaculum_islandicum
47_PF01280,s__Pyrobaculum_neutrophilum
48_PF01280,s__Pyrobaculum_sp._WP30
49_PF01280,s__Thermocladium_sp._ECH_B
50_PF01280,s__Thermoproteus_sp._AZ2
51_PF01280,s__Thermoproteus_sp._CP80
52_PF01280,s__Thermoproteus_tenax
53_PF01280,s__Thermoproteus_uzoniensis
