seqname,tax_id
1_RadA,s__Picrophilus_torridus
2_RadA,s__Thermoplasma_acidophilum
3_RadA,s__Thermoplasma_volcanium
4_RadA,s__Thermoplasma_volcanium
5_RadA,s__Aeropyrum_pernix
6_RadA,s__Desulfurococcus_amylolyticus
7_RadA,s__Ignicoccus_hospitalis
8_RadA,s__Metallosphaera_sedula
9_RadA,s__Sulfolobus_acidocaldarius
10_RadA,s__Sulfolobus_islandicus
11_RadA,s__Sulfurisphaera_tokodaii
12_RadA,s__Pyrobaculum_aerophilum
13_RadA,s__Pyrobaculum_arsenaticum
14_RadA,s__Pyrobaculum_calidifontis
15_RadA,s__Pyrobaculum_neutrophilum
16_RadA,s__Archaeoglobus_fulgidus
17_RadA,s__Archaeoglobus_fulgidus
18_RadA,s__Halobacterium_salinarum
19_RadA,s__Halobacterium_salinarum
20_RadA,s__Haloferax_volcanii
21_RadA,s__Haloquadratum_walsbyi
22_RadA,s__Methanobrevibacter_smithii
23_RadA,s__Methanobrevibacter_smithii
24_RadA,s__Methanosphaera_stadtmanae
25_RadA,s__Methanosphaera_stadtmanae
26_RadA,s__Methanothermobacter_thermautotrophicus
27_RadA,s__Methanothermobacter_thermautotrophicus
28_RadA,s__Methanocaldococcus_jannaschii
29_RadA,s__Methanocaldococcus_jannaschii
30_RadA,s__Methanococcus_maripaludis
31_RadA,s__Methanococcus_maripaludis
32_RadA,s__Methanococcus_maripaludis
33_RadA,s__Methanococcus_maripaludis
34_RadA,s__Methanococcus_maripaludis
35_RadA,s__Methanococcus_maripaludis
36_RadA,s__Methanococcus_voltae
37_RadA,s__Methanocorpusculum_labreanum
38_RadA,s__Methanoculleus_marisnigri
39_RadA,s__Methanoculleus_marisnigri
40_RadA,s__Methanococcoides_burtonii
41_RadA,s__Methanococcoides_burtonii
42_RadA,s__Methanosarcina_acetivorans
43_RadA,s__Methanosarcina_barkeri
44_RadA,s__Methanosarcina_mazei
45_RadA,s__Pyrococcus_abyssi
46_RadA,s__Pyrococcus_abyssi
47_RadA,s__Pyrococcus_furiosus
48_RadA,s__Pyrococcus_furiosus
49_RadA,s__Pyrococcus_horikoshii
50_RadA,s__Thermococcus_gammatolerans
51_RadA,s__Thermococcus_kodakarensis
52_RadA,s__Thermococcus_onnurineus
53_RadA,s__Thermococcus_sibiricus
