tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7
Root,Root,root,Root,Root,,,,,,,,
r__Root,Root,rank_0,r__Root,Root,r__Root,,,,,,,
d__Archaea,r__Root,rank_1,d__Archaea,Root,r__Root,d__Archaea,,,,,,
p__Candidatus_Thermoplasmatota,d__Archaea,rank_2,p__Candidatus_Thermoplasmatota,Root,r__Root,d__Archaea,p__Candidatus_Thermoplasmatota,,,,,
c__Thermoplasmata,p__Candidatus_Thermoplasmatota,rank_3,c__Thermoplasmata,Root,r__Root,d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,,,,
o__Thermoplasmatales,c__Thermoplasmata,rank_4,o__Thermoplasmatales,Root,r__Root,d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,,,
f__Picrophilaceae,o__Thermoplasmatales,rank_5,f__Picrophilaceae,Root,r__Root,d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Picrophilaceae,,
g__Picrophilus,f__Picrophilaceae,rank_6,g__Picrophilus,Root,r__Root,d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Picrophilaceae,g__Picrophilus,
s__Picrophilus_torridus,g__Picrophilus,rank_7,s__Picrophilus_torridus,Root,r__Root,d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Picrophilaceae,g__Picrophilus,s__Picrophilus_torridus
f__Thermoplasmataceae,o__Thermoplasmatales,rank_5,f__Thermoplasmataceae,Root,r__Root,d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,,
g__Thermoplasma,f__Thermoplasmataceae,rank_6,g__Thermoplasma,Root,r__Root,d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,g__Thermoplasma,
s__Thermoplasma_acidophilum,g__Thermoplasma,rank_7,s__Thermoplasma_acidophilum,Root,r__Root,d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,g__Thermoplasma,s__Thermoplasma_acidophilum
s__Thermoplasma_volcanium,g__Thermoplasma,rank_7,s__Thermoplasma_volcanium,Root,r__Root,d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,g__Thermoplasma,s__Thermoplasma_volcanium
p__Crenarchaeota,d__Archaea,rank_2,p__Crenarchaeota,Root,r__Root,d__Archaea,p__Crenarchaeota,,,,,
c__Thermoprotei,p__Crenarchaeota,rank_3,c__Thermoprotei,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,,,,
o__Desulfurococcales,c__Thermoprotei,rank_4,o__Desulfurococcales,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Desulfurococcales,,,
f__Desulfurococcaceae,o__Desulfurococcales,rank_5,f__Desulfurococcaceae,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Desulfurococcales,f__Desulfurococcaceae,,
g__Aeropyrum,f__Desulfurococcaceae,rank_6,g__Aeropyrum,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Desulfurococcales,f__Desulfurococcaceae,g__Aeropyrum,
s__Aeropyrum_pernix,g__Aeropyrum,rank_7,s__Aeropyrum_pernix,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Desulfurococcales,f__Desulfurococcaceae,g__Aeropyrum,s__Aeropyrum_pernix
g__Desulfurococcus,f__Desulfurococcaceae,rank_6,g__Desulfurococcus,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Desulfurococcales,f__Desulfurococcaceae,g__Desulfurococcus,
s__Desulfurococcus_amylolyticus,g__Desulfurococcus,rank_7,s__Desulfurococcus_amylolyticus,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Desulfurococcales,f__Desulfurococcaceae,g__Desulfurococcus,s__Desulfurococcus_amylolyticus
g__Ignicoccus,f__Desulfurococcaceae,rank_6,g__Ignicoccus,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Desulfurococcales,f__Desulfurococcaceae,g__Ignicoccus,
s__Ignicoccus_hospitalis,g__Ignicoccus,rank_7,s__Ignicoccus_hospitalis,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Desulfurococcales,f__Desulfurococcaceae,g__Ignicoccus,s__Ignicoccus_hospitalis
o__Sulfolobales,c__Thermoprotei,rank_4,o__Sulfolobales,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,,,
f__Sulfolobaceae,o__Sulfolobales,rank_5,f__Sulfolobaceae,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,f__Sulfolobaceae,,
