seqname,tax_id
1_RecA,s__Acidobacterium_ailaaui
2_RecA,s__Candidatus_Koribacter_versatilis
3_RecA,s__Granulicella_mallensis
4_RecA,s__Terriglobus_saanensis
5_RecA,s__Bryobacter_aggregatus
6_RecA,s__Bryobacter_aggregatus
7_RecA,s__Candidatus_Solibacter_usitatus
8_RecA,s__Candidatus_Solibacter_usitatus
9_RecA,s__Geothrix_fermentans
10_RecA,s__Ferrimicrobium_acidiphilum
11_RecA,s__Ilumatobacter_coccineus
12_RecA,s__Candidatus_Microthrix_parvicella
13_RecA,s__Actinobaculum_massiliense
14_RecA,s__Actinobaculum_sp._oral_taxon_183
15_RecA,s__Actinomyces_dentalis
16_RecA,s__Actinomyces_massiliensis
17_RecA,s__Actinomyces_sp._oral_taxon_848
18_RecA,s__Actinotignum_schaalii
19_RecA,s__Actinotignum_urinale
20_RecA,s__Arcanobacterium_haemolyticum
21_RecA,s__Fannyhessea_vaginae
22_RecA,s__Gleimia_europaea
23_RecA,s__Mobiluncus_mulieris
24_RecA,s__Schaalia_vaccimaxillae
25_RecA,s__Varibaculum_cambriense
26_RecA,s__Winkia_neuii
27_RecA,s__Actinopolyspora_halophila
28_RecA,s__Bifidobacterium_bifidum
29_RecA,s__Scardovia_inopinata
30_RecA,s__Catenulispora_acidiphila
31_RecA,s__Corynebacterium_ihumii
32_RecA,s__Corynebacterium_jeikeium
33_RecA,s__Corynebacterium_urealyticum
34_RecA,s__Mycobacterium_asiaticum
35_RecA,s__Nocardia_exalbida
36_RecA,s__Nocardia_sp._BMG51109
37_RecA,s__Frankia_sp._EAN1pec
38_RecA,s__Blastococcus_saxobsidens
39_RecA,s__Candidatus_Blastococcus_massiliensis
40_RecA,s__Haloglycomyces_albus
41_RecA,s__Stackebrandtia_nassauensis
42_RecA,s__Kineococcus_radiotolerans
43_RecA,s__Brevibacterium_linens
44_RecA,s__Brevibacterium_mcbrellneri
45_RecA,s__Brevibacterium_ravenspurgense
46_RecA,s__Brevibacterium_senegalense
47_RecA,s__Cellulomonas_flavigena
48_RecA,s__Cellulomonas_massiliensis
49_RecA,s__Paraoerskovia_marina
50_RecA,s__Demequina_mangrovi
51_RecA,s__Brachybacterium_squillarum
52_RecA,s__Dermacoccus_sp._Ellin185
53_RecA,s__Mobilicoccus_pelagius
54_RecA,s__Terracoccus_sp._273MFTsu3.1
55_RecA,s__Jonesia_denitrificans
56_RecA,s__Jonesia_quinghaiensis
57_RecA,s__Kytococcus_sedentarius
58_RecA,s__Agromyces_italicus
59_RecA,s__Candidatus_Aquiluna_sp._IMCC13023
60_RecA,s__Clavibacter_michiganensis
61_RecA,s__Curtobacterium_sp._S6
62_RecA,s__Gulosibacter_faecalis
63_RecA,s__Leifsonia_xyli
64_RecA,s__Leucobacter_chromiiresistens
65_RecA,s__Microbacterium_profundi
66_RecA,s__Microbacterium_sp._KROCY2
67_RecA,s__Microbacterium_sp._URHA0036
68_RecA,s__Microbacterium_testaceum
69_RecA,s__Rhodoluna_lacicola
70_RecA,s__Nesterenkonia_massiliensis
71_RecA,s__Nesterenkonia_sp._F
72_RecA,s__Renibacterium_salmoninarum
73_RecA,s__Rothia_dentocariosa
74_RecA,s__Yaniella_halotolerans
75_RecA,s__Ornithinimicrobium_pekingense
76_RecA,s__Serinicoccus_marinus
77_RecA,s__Cellulosimicrobium_cellulans
78_RecA,s__Tropheryma_whipplei
79_RecA,s__Actinoplanes_sp._N902-109
80_RecA,s__Catenuloplanes_japonicus
81_RecA,s__Dactylosporangium_aurantiacum
82_RecA,s__Hamadaea_tsunoensis
83_RecA,s__Micromonospora_lupini
84_RecA,s__Salinispora_tropica
85_RecA,s__Nakamurella_multipartita
86_RecA,s__Aeromicrobium_marinum
87_RecA,s__Aeromicrobium_massiliense
88_RecA,s__Nocardioides_sp._JS614
89_RecA,s__Acidipropionibacterium_jensenii
90_RecA,s__Aestuariimicrobium_kwangyangense
91_RecA,s__Arachnia_propionica
92_RecA,s__Cutibacterium_granulosum
93_RecA,s__Propionimicrobium_sp._BV2F7
94_RecA,s__Streptacidiphilus_carbonis
95_RecA,s__Streptomyces_viridosporus
96_RecA,s__Streptomyces_wedmorensis
97_RecA,s__Nocardiopsis_alba
98_RecA,s__Nocardiopsis_baichengensis
99_RecA,s__Nocardiopsis_dassonvillei
100_RecA,s__Nocardiopsis_valliformis
101_RecA,s__Thermobispora_bispora
