tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7
Root,Root,root,Root,Root,,,,,,,,
r__Root,Root,rank_0,r__Root,Root,r__Root,,,,,,,
d__Bacteria,r__Root,rank_1,d__Bacteria,Root,r__Root,d__Bacteria,,,,,,
p__Acidobacteria,d__Bacteria,rank_2,p__Acidobacteria,Root,r__Root,d__Bacteria,p__Acidobacteria,,,,,
c__Acidobacteriia,p__Acidobacteria,rank_3,c__Acidobacteriia,Root,r__Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,,,,
o__Acidobacteriales,c__Acidobacteriia,rank_4,o__Acidobacteriales,Root,r__Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,,,
f__Acidobacteriaceae,o__Acidobacteriales,rank_5,f__Acidobacteriaceae,Root,r__Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,,
g__Acidobacterium,f__Acidobacteriaceae,rank_6,g__Acidobacterium,Root,r__Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__Acidobacterium,
s__Acidobacterium_ailaaui,g__Acidobacterium,rank_7,s__Acidobacterium_ailaaui,Root,r__Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__Acidobacterium,s__Acidobacterium_ailaaui
g__Candidatus_Koribacter,f__Acidobacteriaceae,rank_6,g__Candidatus_Koribacter,Root,r__Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__Candidatus_Koribacter,
s__Candidatus_Koribacter_versatilis,g__Candidatus_Koribacter,rank_7,s__Candidatus_Koribacter_versatilis,Root,r__Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__Candidatus_Koribacter,s__Candidatus_Koribacter_versatilis
g__Granulicella,f__Acidobacteriaceae,rank_6,g__Granulicella,Root,r__Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__Granulicella,
s__Granulicella_mallensis,g__Granulicella,rank_7,s__Granulicella_mallensis,Root,r__Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__Granulicella,s__Granulicella_mallensis
g__Terriglobus,f__Acidobacteriaceae,rank_6,g__Terriglobus,Root,r__Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__Terriglobus,
s__Terriglobus_saanensis,g__Terriglobus,rank_7,s__Terriglobus_saanensis,Root,r__Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__Terriglobus,s__Terriglobus_saanensis
o__Bryobacterales,c__Acidobacteriia,rank_4,o__Bryobacterales,Root,r__Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Bryobacterales,,,
f__Bryobacteraceae,o__Bryobacterales,rank_5,f__Bryobacteraceae,Root,r__Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Bryobacterales,f__Bryobacteraceae,,
g__Bryobacter,f__Bryobacteraceae,rank_6,g__Bryobacter,Root,r__Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Bryobacterales,f__Bryobacteraceae,g__Bryobacter,
s__Bryobacter_aggregatus,g__Bryobacter,rank_7,s__Bryobacter_aggregatus,Root,r__Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Bryobacterales,f__Bryobacteraceae,g__Bryobacter,s__Bryobacter_aggregatus
f__Solibacteraceae,o__Bryobacterales,rank_5,f__Solibacteraceae,Root,r__Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Bryobacterales,f__Solibacteraceae,,
g__Candidatus_Solibacter,f__Solibacteraceae,rank_6,g__Candidatus_Solibacter,Root,r__Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Bryobacterales,f__Solibacteraceae,g__Candidatus_Solibacter,
s__Candidatus_Solibacter_usitatus,g__Candidatus_Solibacter,rank_7,s__Candidatus_Solibacter_usitatus,Root,r__Root,d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Bryobacterales,f__Solibacteraceae,g__Candidatus_Solibacter,s__Candidatus_Solibacter_usitatus
c__Holophagae,p__Acidobacteria,rank_3,c__Holophagae,Root,r__Root,d__Bacteria,p__Acidobacteria,c__Holophagae,,,,
o__Holophagales,c__Holophagae,rank_4,o__Holophagales,Root,r__Root,d__Bacteria,p__Acidobacteria,c__Holophagae,o__Holophagales,,,
f__Holophagaceae,o__Holophagales,rank_5,f__Holophagaceae,Root,r__Root,d__Bacteria,p__Acidobacteria,c__Holophagae,o__Holophagales,f__Holophagaceae,,
g__Geothrix,f__Holophagaceae,rank_6,g__Geothrix,Root,r__Root,d__Bacteria,p__Acidobacteria,c__Holophagae,o__Holophagales,f__Holophagaceae,g__Geothrix,
