tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7
Root,Root,root,Root,Root,,,,,,,,
r__Root,Root,rank_0,r__Root,Root,r__Root,,,,,,,
d__Archaea,r__Root,rank_1,d__Archaea,Root,r__Root,d__Archaea,,,,,,
p__Candidatus_Korarchaeota,d__Archaea,rank_2,p__Candidatus_Korarchaeota,Root,r__Root,d__Archaea,p__Candidatus_Korarchaeota,,,,,
p__Candidatus_Thermoplasmatota,d__Archaea,rank_2,p__Candidatus_Thermoplasmatota,Root,r__Root,d__Archaea,p__Candidatus_Thermoplasmatota,,,,,
c__Candidatus_Poseidoniia,p__Candidatus_Thermoplasmatota,rank_3,c__Candidatus_Poseidoniia,Root,r__Root,d__Archaea,p__Candidatus_Thermoplasmatota,c__Candidatus_Poseidoniia,,,,
o__Candidatus_Poseidoniales,c__Candidatus_Poseidoniia,rank_4,o__Candidatus_Poseidoniales,Root,r__Root,d__Archaea,p__Candidatus_Thermoplasmatota,c__Candidatus_Poseidoniia,o__Candidatus_Poseidoniales,,,
c__Thermoplasmata,p__Candidatus_Thermoplasmatota,rank_3,c__Thermoplasmata,Root,r__Root,d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,,,,
o__Thermoplasmatales,c__Thermoplasmata,rank_4,o__Thermoplasmatales,Root,r__Root,d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,,,
f__Ferroplasmaceae,o__Thermoplasmatales,rank_5,f__Ferroplasmaceae,Root,r__Root,d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Ferroplasmaceae,,
g__Ferroplasma,f__Ferroplasmaceae,rank_6,g__Ferroplasma,Root,r__Root,d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Ferroplasmaceae,g__Ferroplasma,
s__Ferroplasma_acidarmanus,g__Ferroplasma,rank_7,s__Ferroplasma_acidarmanus,Root,r__Root,d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Ferroplasmaceae,g__Ferroplasma,s__Ferroplasma_acidarmanus
f__Picrophilaceae,o__Thermoplasmatales,rank_5,f__Picrophilaceae,Root,r__Root,d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Picrophilaceae,,
g__Picrophilus,f__Picrophilaceae,rank_6,g__Picrophilus,Root,r__Root,d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Picrophilaceae,g__Picrophilus,
s__Picrophilus_torridus,g__Picrophilus,rank_7,s__Picrophilus_torridus,Root,r__Root,d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Picrophilaceae,g__Picrophilus,s__Picrophilus_torridus
f__Thermoplasmataceae,o__Thermoplasmatales,rank_5,f__Thermoplasmataceae,Root,r__Root,d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,,
g__Thermoplasma,f__Thermoplasmataceae,rank_6,g__Thermoplasma,Root,r__Root,d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,g__Thermoplasma,
s__Thermoplasma_volcanium,g__Thermoplasma,rank_7,s__Thermoplasma_volcanium,Root,r__Root,d__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,g__Thermoplasma,s__Thermoplasma_volcanium
p__Crenarchaeota,d__Archaea,rank_2,p__Crenarchaeota,Root,r__Root,d__Archaea,p__Crenarchaeota,,,,,
c__Thermoprotei,p__Crenarchaeota,rank_3,c__Thermoprotei,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,,,,
o__Acidilobales,c__Thermoprotei,rank_4,o__Acidilobales,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Acidilobales,,,
f__Acidilobaceae,o__Acidilobales,rank_5,f__Acidilobaceae,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Acidilobales,f__Acidilobaceae,,
g__Acidilobus,f__Acidilobaceae,rank_6,g__Acidilobus,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Acidilobales,f__Acidilobaceae,g__Acidilobus,
s__Acidilobus_saccharovorans,g__Acidilobus,rank_7,s__Acidilobus_saccharovorans,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Acidilobales,f__Acidilobaceae,g__Acidilobus,s__Acidilobus_saccharovorans
o__Desulfurococcales,c__Thermoprotei,rank_4,o__Desulfurococcales,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Desulfurococcales,,,
f__Desulfurococcaceae,o__Desulfurococcales,rank_5,f__Desulfurococcaceae,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Desulfurococcales,f__Desulfurococcaceae,,
