seqname,tax_id
1_RpoB,p__Candidatus_Korarchaeota
2_RpoB,p__Candidatus_Thermoplasmatota
3_RpoB,o__Candidatus_Poseidoniales
4_RpoB,s__Ferroplasma_acidarmanus
5_RpoB,s__Picrophilus_torridus
6_RpoB,s__Thermoplasma_volcanium
7_RpoB,s__Acidilobus_saccharovorans
8_RpoB,s__Ignisphaera_aggregans
9_RpoB,s__Hyperthermus_butylicus
10_RpoB,s__Pyrolobus_fumarii
11_RpoB,s__Sulfolobus_acidocaldarius
12_RpoB,s__Thermofilum_pendens
13_RpoB,s__Pyrobaculum_oguniense
14_RpoB,s__Thermoproteus_uzoniensis
15_RpoB,s__Vulcanisaeta_moutnovskia
16_RpoB,s__Thermococcus_onnurineus
17_RpoB,p__Thaumarchaeota
18_RpoB,d__Bacteria
19_RpoB,s__Candidatus_Koribacter_versatilis
20_RpoB,s__Granulicella_mallensis
21_RpoB,s__Candidatus_Solibacter_usitatus
22_RpoB,c__Blastocatellia
23_RpoB,s__Acidimicrobium_ferrooxidans
24_RpoB,c__Actinobacteria
25_RpoB,c__Actinobacteria
26_RpoB,s__Acidothermus_cellulolyticus
27_RpoB,s__Actinomyces_sp._oral_taxon_175
28_RpoB,s__Actinomyces_sp._oral_taxon_848
29_RpoB,s__Arcanobacterium_haemolyticum
30_RpoB,s__Fannyhessea_vaginae
31_RpoB,s__Gleimia_coleocanis
32_RpoB,s__Mobiluncus_curtisii
33_RpoB,s__Schaalia_odontolytica
34_RpoB,s__Bifidobacterium_adolescentis
35_RpoB,s__Parascardovia_denticolens
36_RpoB,s__Catenulispora_acidiphila
37_RpoB,s__Corynebacterium_amycolatum
38_RpoB,s__Corynebacterium_glucuronolyticum
39_RpoB,s__Corynebacterium_glutamicum
40_RpoB,s__Corynebacterium_kroppenstedtii
41_RpoB,s__Corynebacterium_matruchotii
42_RpoB,s__Corynebacterium_variabile
43_RpoB,s__Gordonia_polyisoprenivorans
44_RpoB,s__Hoyosella_subflava
45_RpoB,s__Mycolicibacter_sinensis
46_RpoB,s__Nocardia_farcinica
47_RpoB,s__Segniliparus_rotundus
48_RpoB,s__Frankia_casuarinae
49_RpoB,s__Frankia_inefficax
50_RpoB,s__Frankia_sp._EAN1pec
51_RpoB,s__Geodermatophilus_obscurus
52_RpoB,s__Stackebrandtia_nassauensis
53_RpoB,s__Kineococcus_radiotolerans
54_RpoB,o__Micrococcales
55_RpoB,s__Beutenbergia_cavernae
56_RpoB,s__Brevibacterium_mcbrellneri
57_RpoB,s__Brachybacterium_faecium
58_RpoB,s__Dermacoccus_sp._Ellin185
59_RpoB,s__Kytococcus_sedentarius
60_RpoB,s__Intrasporangium_calvum
