seqname,tax_id
1_PF00380b,s__Abditibacterium_utsteinense
2_PF00380b,s__Acidobacterium_ailaaui
3_PF00380b,s__Acidobacterium_sp.
4_PF00380b,s__Bryocella_elongata
5_PF00380b,s__Candidatus_Koribacter_versatilis
6_PF00380b,s__Candidatus_Sulfotelmatobacter_kueseliae
7_PF00380b,s__Candidatus_Sulfotelmatobacter_sp._SbA7
8_PF00380b,s__Candidatus_Sulfotelmatobacter_sp._SbA7
9_PF00380b,s__Candidatus_Sulfotelmatomonas_gaucii
10_PF00380b,s__Edaphobacter_aggregans
11_PF00380b,s__Terriglobus_roseus
12_PF00380b,s__Bryobacter_aggregatus
13_PF00380b,s__Candidatus_Solibacter_usitatus
14_PF00380b,s__Pyrinomonas_methylaliphatogenes
15_PF00380b,s__Holophaga_foetida
16_PF00380b,s__Thermoanaerobaculum_aquaticum
17_PF00380b,s__Acidimicrobium_ferrooxidans
18_PF00380b,s__Acidimicrobium_sp.
19_PF00380b,s__Acidimicrobium_sp._BACL17_MAG-120823-bin42
20_PF00380b,s__Acidimicrobium_sp._BACL19_MAG-120924-bin39
21_PF00380b,s__Acidimicrobium_sp._BACL27_MAG-120823-bin4
22_PF00380b,s__Acidithrix_ferrooxidans
23_PF00380b,s__Ferrimicrobium_acidiphilum
24_PF00380b,s__Ferrithrix_thermotolerans
25_PF00380b,s__Ilumatobacter_coccineus
26_PF00380b,s__Ilumatobacter_coccineus
27_PF00380b,s__Candidatus_Microthrix_parvicella
28_PF00380b,s__Acidothermus_cellulolyticus
29_PF00380b,s__Actinomyces_naeslundii
30_PF00380b,s__Varibaculum_cambriense
31_PF00380b,g__Actinopolyspora
32_PF00380b,s__Bifidobacterium_mongoliense
33_PF00380b,s__Bifidobacterium_scardovii
34_PF00380b,s__Candidatus_Actinomarina_minuta
35_PF00380b,s__Candidatus_Nanopelagicus_abundans
36_PF00380b,g__Corynebacterium
37_PF00380b,g__Corynebacterium
38_PF00380b,s__Corynebacterium_caspium
39_PF00380b,s__Corynebacterium_kutscheri
40_PF00380b,s__Corynebacterium_nuruki
41_PF00380b,s__Corynebacterium_sphenisci
42_PF00380b,s__Corynebacterium_xerosis
43_PF00380b,s__Dietzia_timorensis
44_PF00380b,s__Gordonia_bronchialis
45_PF00380b,s__Mycobacteroides_abscessus
46_PF00380b,s__Mycolicibacillus_koreensis
47_PF00380b,s__Segniliparus_rotundus
48_PF00380b,s__Frankia_discariae
49_PF00380b,s__Blastococcus_sp._Marseille-P5729
50_PF00380b,s__Geodermatophilus_sabuli
51_PF00380b,s__Glycomyces_tenuis
52_PF00380b,s__Haloglycomyces_albus
53_PF00380b,s__Stackebrandtia_nassauensis
54_PF00380b,s__Haloactinopolyspora_alba
55_PF00380b,s__Brevibacterium_ihuae
56_PF00380b,s__Cellulomonas_cellasea
57_PF00380b,s__Kytococcus_aerolatus
58_PF00380b,s__Kribbia_dieselivorans
59_PF00380b,s__Candidatus_Aquiluna_sp._IMCC13023
60_PF00380b,s__Labedella_gwakjiensis
61_PF00380b,s__Leucobacter_komagatae
62_PF00380b,s__Pseudoclavibacter_soli
63_PF00380b,s__Arthrobacter_sp._MYb213
64_PF00380b,g__Micrococcus
65_PF00380b,s__Actinocatenispora_sera
66_PF00380b,s__Micromonospora_parva
67_PF00380b,s__Nakamurella_panacisegetis
68_PF00380b,s__Actinopolymorpha_singaporensis
69_PF00380b,g__Aeromicrobium
70_PF00380b,s__Kribbella_catacumbae
71_PF00380b,s__Marmoricola_aequoreus
72_PF00380b,s__Luteococcus_japonicus
73_PF00380b,s__Propionibacterium_freudenreichii
74_PF00380b,s__Propionibacterium_sp._4572_24
75_PF00380b,g__Propionimicrobium
76_PF00380b,s__Tessaracoccus_sp._ZS01
77_PF00380b,s__Allokutzneria_albata
78_PF00380b,s__Haloechinothrix_alba
79_PF00380b,s__Pseudonocardia_acaciae
80_PF00380b,s__Pseudonocardia_dioxanivorans
81_PF00380b,s__Saccharopolyspora_flava
82_PF00380b,s__Saccharothrix_sp._ALI-22-I
83_PF00380b,s__Sporichthya_polymorpha
84_PF00380b,s__Streptomyces_sp._NRRL_F-5126
85_PF00380b,s__Nocardiopsis_gilva
86_PF00380b,s__Thermobifida_fusca
87_PF00380b,s__Microbispora_rosea
88_PF00380b,s__Actinomadura_macra
89_PF00380b,s__Atopobium_sp._oral_taxon_199
90_PF00380b,s__Collinsella_vaginalis
91_PF00380b,s__Eggerthella_sp._CAG:368
92_PF00380b,s__Eggerthella_timonensis
93_PF00380b,s__Phoenicibacter_congonensis
94_PF00380b,s__Euzebya_rosea
95_PF00380b,s__Nitriliruptor_alkaliphilus
96_PF00380b,s__Rubrobacter_aplysinae
97_PF00380b,s__Rubrobacter_radiotolerans
98_PF00380b,s__Rubrobacter_xylanophilus
99_PF00380b,s__Conexibacter_woesei
100_PF00380b,s__Patulibacter_minatonensis
101_PF00380b,s__Thermoleophilum_album
102_PF00380b,s__Aquifex_aeolicus
103_PF00380b,s__Hydrogenivirga_sp._128-5-R1-1
104_PF00380b,s__Hydrogenivirga_sp._128-5-R1-1
105_PF00380b,s__Hydrogenobaculum_sp.
106_PF00380b,s__Thermocrinis_ruber
107_PF00380b,s__Desulfurobacterium_thermolithotrophum
108_PF00380b,s__Chthonomonas_calidirosea
109_PF00380b,s__Fimbriimonas_ginsengisoli
110_PF00380b,s__Bacteroides_sp._CAG:1060_57_27
111_PF00380b,s__Bacteroides_sp._CAG:545
112_PF00380b,s__Bacteroides_sp._SM23_62_1
113_PF00380b,g__Dysgonomonas
114_PF00380b,s__Lentimicrobium_saccharophilum
115_PF00380b,g__Muribaculum
116_PF00380b,s__Odoribacter_laneus
117_PF00380b,s__Paludibacter_propionicigenes
118_PF00380b,g__Porphyromonas
119_PF00380b,g__Porphyromonas
120_PF00380b,s__Porphyromonas_bennonis
121_PF00380b,s__Porphyromonas_crevioricanis
122_PF00380b,s__Prevotella_intermedia
123_PF00380b,s__Prevotella_sp._CAG:279
124_PF00380b,s__Prevotella_sp._CAG:485
125_PF00380b,s__Prevotella_sp._CAG:873
126_PF00380b,s__Prevotella_sp._MGM2
127_PF00380b,s__Alistipes_sp._CAG:514
128_PF00380b,s__Alistipes_sp._CHKCI003
129_PF00380b,s__Alistipes_sp._ZOR0009
130_PF00380b,s__Millionella_massiliensis
131_PF00380b,s__Mucinivorans_hirudinis
132_PF00380b,s__Tannerella_sp._oral_taxon_808
133_PF00380b,s__Williamwhitmania_taraxaci
134_PF00380b,s__Geofilum_rubicundum
135_PF00380b,s__Marinilabilia_salmonicolor
136_PF00380b,s__Saccharicrinis_aurantiacus
137_PF00380b,s__Mariniphaga_anaerophila
138_PF00380b,g__Prolixibacter
139_PF00380b,s__Salinivirga_cyanobacteriivorans
140_PF00380b,s__Arachidicoccus_sp._BS20
141_PF00380b,s__Chitinophaga_ginsengisoli
142_PF00380b,s__Flavipsychrobacter_stenotrophus
143_PF00380b,s__Flavisolibacter_tropicus
144_PF00380b,s__Niastella_koreensis
145_PF00380b,s__Niastella_sp._SCN_39-18
146_PF00380b,s__Taibaiella_chishuiensis
147_PF00380b,s__Thermoflavifilum_aggregans
148_PF00380b,s__Candidatus_Amoebophilus_sp._36-38
149_PF00380b,s__Cardinium_endosymbiont_of_Encarsia_pergandiella
150_PF00380b,s__Hugenholtzia_roseola
151_PF00380b,s__Catalinimonas_alkaloidigena
152_PF00380b,s__Nafulsella_turpanensis
153_PF00380b,s__Algoriphagus_mannitolivorans
154_PF00380b,g__Cyclobacterium
155_PF00380b,s__Candidatus_Nephrothrix_sp._EaCA
156_PF00380b,s__Cytophaga_aurantiaca
157_PF00380b,s__Dyadobacter_beijingensis
158_PF00380b,s__Emticicia_oligotrophica
159_PF00380b,g__Fibrella
160_PF00380b,s__Jiulongibacter_sediminis
161_PF00380b,s__Leadbetterella_byssophila
162_PF00380b,s__Pseudarcicella_hirudinis
163_PF00380b,g__Rhodonellum
164_PF00380b,s__Runella_limosa
165_PF00380b,s__Siphonobacter_aquaeclarae
166_PF00380b,s__Spirosoma_rigui
167_PF00380b,s__Sporocytophaga_myxococcoides
168_PF00380b,s__Flammeovirga_pacifica
169_PF00380b,s__Flexithrix_dorotheae
170_PF00380b,s__Flexibacter_flexilis
171_PF00380b,s__Flexibacter_sp._CG_4_10_14_3_um_filter_32_15
172_PF00380b,s__Chryseolinea_serpens
173_PF00380b,s__Fulvivirga_imtechensis
